pm10,date (Europe/London)
23,2025-12-04 19:52:35.257000+00:00
23,2025-12-04 19:52:33.265000+00:00
23,2025-12-04 19:52:31.338000+00:00
23,2025-12-04 19:52:29.261000+00:00
23,2025-12-04 19:52:27.301000+00:00
22,2025-12-04 19:52:25.298000+00:00
22,2025-12-04 19:52:23.258000+00:00
26,2025-12-04 19:52:21.290000+00:00
26,2025-12-04 19:52:19.290000+00:00
26,2025-12-04 19:52:17.342000+00:00
26,2025-12-04 19:52:15.277000+00:00
26,2025-12-04 19:52:13.288000+00:00
26,2025-12-04 19:52:11.259000+00:00
26,2025-12-04 19:52:09.261000+00:00
26,2025-12-04 19:52:07.286000+00:00
24,2025-12-04 19:52:05.274000+00:00
24,2025-12-04 19:52:03.358000+00:00
24,2025-12-04 19:52:01.290000+00:00
24,2025-12-04 19:51:59.258000+00:00
24,2025-12-04 19:51:57.296000+00:00
24,2025-12-04 19:51:55.263000+00:00
24,2025-12-04 19:51:53.270000+00:00
23,2025-12-04 19:51:51.292000+00:00
23,2025-12-04 19:51:49.269000+00:00
23,2025-12-04 19:51:47.276000+00:00
23,2025-12-04 19:51:45.260000+00:00
23,2025-12-04 19:51:43.324000+00:00
23,2025-12-04 19:51:41.289000+00:00
23,2025-12-04 19:51:39.294000+00:00
23,2025-12-04 19:51:37.260000+00:00
28,2025-12-04 19:51:35.302000+00:00
28,2025-12-04 19:51:33.302000+00:00
28,2025-12-04 19:51:31.292000+00:00
25,2025-12-04 19:51:29.305000+00:00
25,2025-12-04 19:51:27.359000+00:00
25,2025-12-04 19:51:25.273000+00:00
25,2025-12-04 19:51:23.373000+00:00
25,2025-12-04 19:51:21.309000+00:00
25,2025-12-04 19:51:19.273000+00:00
25,2025-12-04 19:51:17.351000+00:00
25,2025-12-04 19:51:15.278000+00:00
21,2025-12-04 19:51:13.404000+00:00
21,2025-12-04 19:51:11.281000+00:00
21,2025-12-04 19:51:09.296000+00:00
21,2025-12-04 19:51:07.272000+00:00
21,2025-12-04 19:51:05.261000+00:00
20,2025-12-04 19:51:03.377000+00:00
20,2025-12-04 19:51:01.260000+00:00
20,2025-12-04 19:50:59.360000+00:00
23,2025-12-04 19:50:57.314000+00:00
23,2025-12-04 19:50:55.326000+00:00
23,2025-12-04 19:50:53.362000+00:00
23,2025-12-04 19:50:51.258000+00:00
23,2025-12-04 19:50:49.296000+00:00
23,2025-12-04 19:50:47.264000+00:00
23,2025-12-04 19:50:45.273000+00:00
23,2025-12-04 19:50:43.314000+00:00
24,2025-12-04 19:50:41.263000+00:00
24,2025-12-04 19:50:39.274000+00:00
24,2025-12-04 19:50:37.268000+00:00
24,2025-12-04 19:50:35.278000+00:00
24,2025-12-04 19:50:33.302000+00:00
27,2025-12-04 19:50:31.262000+00:00
27,2025-12-04 19:50:29.270000+00:00
27,2025-12-04 19:50:27.264000+00:00
19,2025-12-04 19:50:25.288000+00:00
19,2025-12-04 19:50:23.302000+00:00
19,2025-12-04 19:50:21.261000+00:00
19,2025-12-04 19:50:19.263000+00:00
19,2025-12-04 19:50:17.340000+00:00
18,2025-12-04 19:50:15.303000+00:00
18,2025-12-04 19:50:13.273000+00:00
18,2025-12-04 19:50:11.262000+00:00
21,2025-12-04 19:50:09.318000+00:00
21,2025-12-04 19:50:07.272000+00:00
21,2025-12-04 19:50:05.344000+00:00
21,2025-12-04 19:50:03.325000+00:00
21,2025-12-04 19:50:01.300000+00:00
23,2025-12-04 19:49:59.267000+00:00
23,2025-12-04 19:49:57.331000+00:00
23,2025-12-04 19:49:55.293000+00:00
23,2025-12-04 19:49:53.287000+00:00
23,2025-12-04 19:49:51.266000+00:00
23,2025-12-04 19:49:49.278000+00:00
23,2025-12-04 19:49:47.260000+00:00
23,2025-12-04 19:49:45.306000+00:00
21,2025-12-04 19:49:43.266000+00:00
21,2025-12-04 19:49:41.275000+00:00
21,2025-12-04 19:49:39.323000+00:00
21,2025-12-04 19:49:37.262000+00:00
21,2025-12-04 19:49:35.271000+00:00
21,2025-12-04 19:49:33.259000+00:00
21,2025-12-04 19:49:31.333000+00:00
21,2025-12-04 19:49:29.449000+00:00
20,2025-12-04 19:49:27.301000+00:00
20,2025-12-04 19:49:25.306000+00:00
20,2025-12-04 19:49:23.257000+00:00
20,2025-12-04 19:49:21.315000+00:00
20,2025-12-04 19:49:19.259000+00:00
20,2025-12-04 19:49:17.260000+00:00
20,2025-12-04 19:49:15.330000+00:00
20,2025-12-04 19:49:13.433000+00:00
